Date;21861 - Physical Production - Mineral extraction - Index;21862 - Physical Production - Manufacturing industry - Index;21863 - Physical Production - Capital goods - Index;21864 - Physical Production - Intermediate goods - Index;21865 - Physical Production - Consumer goods - Index;21866 - Physical Production - Durable goods - Index;21867 - Physical Production - Semidurable and nondurable goods - Index;21868 - Physical Production - Production of construction inputs - Index
08/2014;110.9 ;105.8 ;104.1 ;107.3 ;105.6 ;96.3 ;108.5 ;101.2
09/2014;107.7 ;105.3 ;107.1 ;103.4 ;109.7 ;104.5 ;111.3 ;101.0
10/2014;112.2 ;108.9 ;111.7 ;106.3 ;114.5 ;109.8 ;116.0 ;104.6
11/2014;105.7 ;99.1 ;100.9 ;97.1 ;104.3 ;96.9 ;106.7 ;95.6
12/2014;110.6 ;84.8 ;75.5 ;88.8 ;88.6 ;75.4 ;92.8 ;81.3
01/2015;107.4 ;85.7 ;84.2 ;89.3 ;86.6 ;82.0 ;88.1 ;84.5
02/2015;98.1 ;81.9 ;83.8 ;84.3 ;82.4 ;77.4 ;84.0 ;82.4
03/2015;107.7 ;92.7 ;93.7 ;94.3 ;94.3 ;94.5 ;94.3 ;93.6
04/2015;107.1 ;86.5 ;80.1 ;91.3 ;86.4 ;82.4 ;87.7 ;85.4
05/2015;110.5 ;90.9 ;77.9 ;96.3 ;90.4 ;81.0 ;93.4 ;84.9
06/2015;109.8 ;90.3 ;74.3 ;97.1 ;88.5 ;69.3 ;94.5 ;81.9
07/2015;111.3 ;93.5 ;76.7 ;99.0 ;93.9 ;79.4 ;98.5 ;86.9
08/2015;115.0 ;95.4 ;70.2 ;102.2 ;96.6 ;82.7 ;101.0 ;86.9
09/2015;110.7 ;92.3 ;73.9 ;96.0 ;96.7 ;75.9 ;103.2 ;83.1
10/2015;111.5 ;95.5 ;75.4 ;98.9 ;100.2 ;78.8 ;107.0 ;87.3
11/2015;95.2 ;86.6 ;69.8 ;86.9 ;93.4 ;69.2 ;101.1 ;79.5
12/2015;98.3 ;74.6 ;51.6 ;78.7 ;80.5 ;56.0 ;88.3 ;64.8
01/2016;89.5 ;74.6 ;54.7 ;78.9 ;76.5 ;58.5 ;82.2 ;68.0
02/2016;87.0 ;74.4 ;63.4 ;77.5 ;75.6 ;54.8 ;82.1 ;71.3
03/2016;90.5 ;82.8 ;72.8 ;83.8 ;86.4 ;71.8 ;91.1 ;78.0
04/2016;90.5 ;82.1 ;68.1 ;84.5 ;84.3 ;63.0 ;91.0 ;75.1
05/2016;98.1 ;84.8 ;70.5 ;88.8 ;85.7 ;66.1 ;91.9 ;77.0
06/2016;96.2 ;86.6 ;73.5 ;90.2 ;86.6 ;64.3 ;93.6 ;76.0
07/2016;101.0 ;88.2 ;68.6 ;94.3 ;86.6 ;66.6 ;92.9 ;77.8
08/2016;101.8 ;91.9 ;74.4 ;95.6 ;93.4 ;73.7 ;99.6 ;80.8
09/2016;100.4 ;89.4 ;70.9 ;92.5 ;92.6 ;70.2 ;99.6 ;74.3
10/2016;101.8 ;88.7 ;69.2 ;91.8 ;93.0 ;72.4 ;99.5 ;74.4
11/2016;99.4 ;84.8 ;72.0 ;86.1 ;91.0 ;74.2 ;96.2 ;71.6
12/2016;105.3 ;73.7 ;60.4 ;78.1 ;79.2 ;59.3 ;85.4 ;60.8
01/2017;101.9 ;74.9 ;58.2 ;79.9 ;78.8 ;61.2 ;84.4 ;65.7
02/2017;93.2 ;73.7 ;65.8 ;76.1 ;77.7 ;66.0 ;81.4 ;65.3
03/2017;99.2 ;83.7 ;76.1 ;84.9 ;88.8 ;78.3 ;92.1 ;75.8
04/2017;96.5 ;77.2 ;64.3 ;82.0 ;77.7 ;63.3 ;82.2 ;65.4
05/2017;103.5 ;88.4 ;76.1 ;91.9 ;90.4 ;79.7 ;93.8 ;72.5
06/2017;102.5 ;86.7 ;74.1 ;91.4 ;86.5 ;67.9 ;92.3 ;70.8
07/2017;104.4 ;90.6 ;73.8 ;95.3 ;91.0 ;72.3 ;96.9 ;73.4
08/2017;104.2 ;95.7 ;81.3 ;97.4 ;99.5 ;87.4 ;103.3 ;78.6
09/2017;102.3 ;91.8 ;75.5 ;94.4 ;95.0 ;81.5 ;99.2 ;73.9
10/2017;104.2 ;94.0 ;79.8 ;95.0 ;99.7 ;85.3 ;104.2 ;75.9
11/2017;100.5 ;89.4 ;77.9 ;89.9 ;95.6 ;85.5 ;98.8 ;74.7
12/2017;101.7 ;78.4 ;66.5 ;81.8 ;82.7 ;71.8 ;86.1 ;65.7
01/2018;101.7 ;79.8 ;68.4 ;83.4 ;83.2 ;73.4 ;86.2 ;68.3
02/2018;88.0 ;75.9 ;70.5 ;77.0 ;79.5 ;76.1 ;80.6 ;66.4
03/2018;96.5 ;85.0 ;82.9 ;84.5 ;90.2 ;90.5 ;90.2 ;73.6
04/2018;95.3 ;85.4 ;79.3 ;85.9 ;89.2 ;86.1 ;90.2 ;71.2
05/2018;104.1 ;81.9 ;71.2 ;87.3 ;81.6 ;70.8 ;85.1 ;66.7
06/2018;102.5 ;89.6 ;80.6 ;92.9 ;90.2 ;77.9 ;94.1 ;73.6
07/2018;105.5 ;94.6 ;79.2 ;98.5 ;95.0 ;84.7 ;98.2 ;75.5
08/2018;104.2 ;97.5 ;89.0 ;98.1 ;101.1 ;96.1 ;102.6 ;79.8
